actor_id,first_name,last_name,gender,date_of_birth
2,Tim,Allen,M,1953-06-13
7,Marlon,Brando,M,1924-04-03
8,Adrien,Brody,M,1973-04-14
9,Peter,Carlberg,M,1950-12-08
11,Chen,Chang,M,1976-10-14
12,Graham,Chapman,M,1941-01-08
15,Min-sik,Choi,M,1962-05-30
16,Yun-fat,Chow,M,1955-05-18
17,John,Cleese,M,1939-10-27
18,Paddy,Considine,M,1973-09-05
20,Brian,Cox,M,1946-06-01
21,Scatman,Crothers,M,1910-05-23
22,Russell,Crowe,M,1964-04-07
23,Tom,Cruise,M,1962-07-03
24,Darlan,Cunha,M,1988-07-26
25,Willem,Dafoe,M,1955-07-22
26,Paul,Dano,M,1984-06-19
27,Daniel,Day-Lewis,M,1957-04-29
28,Robert,De Niro,M,1943-08-17
29,,Denden,M,1950-01-23
30,Leonardo,DiCaprio,M,1974-11-11
31,Peter,Dinklage,M,1969-06-11
32,Hiroki,Doi,M,1999-08-10
35,Ralph,Fiennes,M,1962-12-22
36,Leandro,Firmino,M,1978-06-23
38,Harrison,Ford,M,1942-07-13
40,James,Franco,M,1978-04-19
41,Dillon,Freasier,M,1996-03-06
42,Tatsuya,Fujiwara,M,1982-05-15
43,Mitsuru,Fukikoshi,M,1965-02-17
44,Clark,Gable,M,1901-02-01
45,Mason,Gamble,M,1986-01-16
46,Xian,Gao,M,
47,Andrew,Garfield,M,1983-08-20
50,Jeff,Goldblum,M,1952-10-22
52,Alec,Guiness,M,1914-04-02
53,Jackey,Haley,M,1961-07-14
54,Mark,Hamill,M,1951-09-25
55,Tom,Hanks,M,1956-07-09
57,Woody,Harrelson,M,1961-07-23
58,Rutger,Hauer,M,1944-01-23
60,Kare,Hedebrant,M,1995-06-28
62,Ian,Holm,M,1931-09-12
63,Dennis,Hopper,M,1936-05-17
64,Eric,Idle,M,1943-03-29
65,Miyu,Irino,M,1988-02-19
66,Samuel,Jackson,M,1948-12-21
67,Terry,Jones,M,1942-02-01
70,Takeshi,Kaneshiro,M,1973-10-11
72,Irfan,Khan,M,1967-01-07
74,Val,Kilmer,M,1959-12-31
75,Takeshi,Kitano,M,1947-01-18
77,Sebastian,Koch,M,1962-05-31
79,Andy,Lau,M,1961-09-27
80,Jude,Law,M,1972-12-29
82,Bruce,Lee,M,1940-11-27
84,Tony,Leung,M,1962-06-27
85,Ray,Liotta,M,1954-12-18
86,Danny,Lloyd,M,1972-10-13
87,Sihung,Lung,M,1930-01-01
89,Tobey,Maguire,M,1975-06-27
91,Malcolm,McDowell,M,1943-06-13
92,Alfred,Molina,M,1953-05-24
94,Ulrich,Muhe,M,1953-06-20
96,Bill,Murray,M,1950-09-21
98,Jack,Nicholson,M,1937-04-22
101,Chuck,Norris,M,1940-03-10
102,Edward,Norton,M,1969-08-18
103,Gary,Oldman,M,1958-03-21
105,Michael,Palin,M,1943-05-05
107,Joe,Pesci,M,1943-02-09
108,Joaquin,Phoenix,M,1974-10-28
110,Per,Ragnar,M,1941-05-29
111,Oliver,Reed,M,1938-02-13
112,Jean,Reno,M,1948-07-30
113,Tony,Revolori,M,1996-04-28
114,Craig,Roberts,M,1991-01-21
115,Sam,Rockwell,M,1968-11-05
116,Alexandre,Rodrigues,M,1983-05-21
118,Roy,Scheider,M,1932-11-10
119,Jason,Schwartzmann,M,1980-06-26
120,Suraj,Sharma,M,1993-03-21
121,Martin,Sheen,M,1940-08-03
122,Douglas,Silva,M,1988-09-27
124,Rafe,Spall,M,1983-03-10
126,George,Tokoro,M,1955-01-26
127,Noah,Taylor,M,1969-09-04
129,John,Travolta,M,1954-02-18
130,Chris,Tucker,M,1971-08-31
131,Dick,Van Dyke,M,1925-12-13
132,Hugo,Weaving,M,1960-04-04
134,Mykelti,Williamson,M,1957-03-04
135,Bruce,Willis,M,1955-03-19
136,Luke,Wilson,M,1971-09-21
137,Owen,Wilson,M,1968-11-18
138,Patrick,Wilson,M,1973-07-03
143,Ji-tae,Yoo,M,1976-04-13
146,Billy,Zane,M,1966-02-24
