actor_id,first_name,last_name,gender,date_of_birth
1,Malin,Akerman,F,1978-05-12
3,Julie,Andrews,F,1935-10-01
4,Ivana,Baquero,F,1994-06-11
5,Lorraine,Bracco,F,1954-10-02
6,Alice,Braga,F,1983-04-15
10,Gemma,Chan,F,1982-11-29
13,Pei-pei,Cheng,F,1946-12-04
14,Maggie ,Cheung,F,1964-09-20
19,Abbie,Cornish,F,1982-08-07
33,Kirsten,Dunst,F,1982-04-30
34,Shelley,Duvall,F,1949-07-07
37,Carrie,Fisher,F,1956-10-21
39,Jodie,Foster,F,1962-11-19
48,Judy,Garland,F,1922-06-10
49,Martina,Gedeck,F,1961-09-14
51,Carla,Gugino,F,1971-08-29
56,Daryl,Hannah,F,1958-12-03
59,Sally,Hawkins,F,1976-04-27
61,Rumi,Hiiragi,F,1987-08-01
68,Milla,Jovovich,F,1975-12-17
69,Megumi,Kagurazaka,F,1981-09-28
71,Hei-Jung,Kang,F,1982-01-04
73,Nicole,Kidman,F,1967-06-20
76,Keira,Knightley,F,1985-03-26
78,Asuka,Kurosawa,F,1971-12-22
81,Lina,Leandersson,F,1995-09-27
83,Vivien,Leigh,F,1913-11-05
88,Aki,Maeda,F,1985-07-11
90,Francis,McDormand,F,1957-06-23
93,Cathy,Moriarty,F,1960-11-29
95,Carey,Mulligan,F,1985-05-28
97,Mari,Natsuki,F,1952-05-02
99,Connie,Nielsen,F,1965-07-03
100,Ika,Nord,F,1960-04-29
104,Yasmin,Paige,F,1991-06-24
106,Rebecca,Pan,F,1931-12-29
109,Natilie,Portman,F,1981-06-09
117,Saoirse,Ronan,F,1994-04-12
123,Dandan,Song,F,1961-08-25
125,Tilda,Swinton,F,1960-11-05
128,Uma,Thurman,F,1970-04-29
133,Olivia,Williams,F,1968-07-26
139,Kate,Winslet,F,1975-10-05
140,Faye,Wong,F,1969-08-08
141,Robin,Wright,F,1966-04-08
142,Michelle,Yeoh,F,1962-08-06
144,Jin-seo,Yoon,F,1983-08-05
145,Sean,Young,F,1959-11-20
147,Ziyi,Zhang,F,1979-02-09
